clickability_test_id,headline,impressions,clicks
546d88fb84ad38b2ce000024,They're Being Called 'Walmart's Worst Nightmare.' And I *Really* Hope It Comes True.,3052,150
546d88fb84ad38b2ce000024,They're Being Called 'Walmart's Worst Nightmare.' And I *Really* Hope It Comes True.,3033,122
546d88fb84ad38b2ce000024,They're Being Called 'Walmart's Worst Nightmare.' And I *Really* Hope It Comes True.,3092,110
546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,3526,90
546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,3506,120
546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,3380,98
546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,3465,75
546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,3431,86
546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,3394,76
546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,3505,95
546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,3423,84
546deb3f26714cd2dd00003a,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,3910,142
546e009a9ad54ec65b00004b,What They Learned From The Scientist Was Terrifying. But That's What They Needed To Hear.,4594,51
546deb3f26714cd2dd00003a,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,3872,122
546deb3f26714cd2dd00003a,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,3794,67
546deb3f26714cd2dd00003a,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,3888,136
546deb3f26714cd2dd00003a,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,3841,150
546deb3f26714cd2dd00003a,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,3883,98
546dfa4226714c0538000064,A Bunch Of Celebrities Recorded A Song To Raise Money For Ebola. Meet The One Who Said 'No Thanks'.,3848,220
546dfa4226714c0538000064,A Bunch Of Celebrities Recorded A Song To Raise Money For Ebola. Meet The One Who Said 'No Thanks'.,3948,181
546dfa4226714c0538000064,A Bunch Of Celebrities Recorded A Song To Raise Money For Ebola. Meet The One Who Said 'No Thanks'.,3839,182
546dfa4226714c0538000064,A Bunch Of Celebrities Recorded A Song To Raise Money For Ebola. Meet The One Who Said 'No Thanks'.,3845,186
546e009a9ad54ec65b00004b,A Science Guy Helps 3 Dudes From America Understand What They're Really Up Against,4571,58
546e009a9ad54ec65b00004b,He Sat Them Down And Told Them About An Imminent Death — Which Is Why They Came To Australia,4601,27
546e009a9ad54ec65b00004b,"The 3 Of Them Needed To See It In Person, And The Fact That It Was Beautiful Made It Even Worse",4567,63
546e009a9ad54ec65b00004b,"They May Not Be The Most Handsome Dudes, But They're Passionate. And They Have A Mission.",4524,44
546cb9c954524053ac000013,"The Selfies Were Already Bad Enough, But Then There Was Everything Else. This Woman May Have Issues.",4527,189
546cb9c954524053ac000013,Warning: Beware Of Her Selfies And Stereotypes. She's Doing Pretty Much Everything Wrong.,4600,154
546cb9c954524053ac000013,"Sigh... I Wanted To Like This Woman, But The Selfies Were Too Much. Also, Everything Else About Her.",4603,162
546e454a9ad54e2af0000070,A Couple That Loves To Travel Together Came Up With A Genius Idea.,3017,35
54d1967c63666200191c0000,My Mom Forced Me To Study When I Was A Kid. These Parents Don't Want Kids To Take This Test At All.,2188,14
546e2ce926714c856600004f,"Colbert Asked Eva Longoria If She Produced A Tomato, But What She Really Produced Is So Much Better",3612,50
546e2ce926714c856600004f,"Without Our 'Food Chains', We'd All Be In 'The Hunger Games'",3529,15
546e2ce926714c856600004f,"From Wisteria Lane To The Farm, Actress Eva Longoria Has It Together",3573,16
546e2ce926714c856600004f,"In This World 40,000 Pounds Is Worth Only $400. Holy Crap, That's Not Good.",3616,25
546e2ce926714c856600004f,What Are Walmart And Whole Foods Doing That Wendy's Isn't?,3485,30
546e40d226714cd2dd00006f,Nothing Prepared Me For This Mind-Bending NASA Video About What Went On Across The Earth During 2006,3006,32
546e40d226714cd2dd00006f,Nothing Prepared Me For This Mind-Bending NASA Video About What Went On Across The Earth During 2006,3123,39
546e40d226714cd2dd00006f,Nothing Prepared Me For This Mind-Bending NASA Video About What Went On Across The Earth During 2006,3001,50
546e40d226714cd2dd00006f,Nothing Prepared Me For This Mind-Bending NASA Video About What Went On Across The Earth During 2006,3115,62
546e454a9ad54e2af0000070,A Couple That Loves To Travel Together Came Up With A Genius Idea,3077,40
546e454a9ad54e2af0000070,A Couple That Loves To Travel Together Came Up With A Genius Idea,3059,49
546e454a9ad54e2af0000070,A Couple That Loves To Travel Together Came Up With A Genius Idea,3051,84
546e454a9ad54e2af0000070,A Couple That Loves To Travel Together Came Up With A Genius Idea,3056,82
546e454a9ad54e2af0000070,A Couple That Loves To Travel Together Came Up With A Genius Idea,3014,79
546e5e0d9ad54eca48000061,Here's What Every School Should Put Right Next To The Swing Set,2988,28
